# pythoncamb#
6.731999999999999920e-05 1.350310307752908102e+03
6.790992703445769226e-05 1.361734229540550587e+03
6.850502361594423795e-05 1.373254708528069841e+03
6.910533504534422116e-05 1.384872543079652360e+03
6.971090702051510016e-05 1.396588537863222427e+03
7.032178563976595066e-05 1.408403504385599263e+03
7.093801740536660803e-05 1.420318274246358214e+03
7.155964922708756037e-05 1.432333701211181506e+03
7.218672842577097157e-05 1.444450647335095027e+03
7.281930273693283467e-05 1.456669982262785879e+03
7.345742031439681094e-05 1.468992583297967940e+03
7.410112973395984967e-05 1.481419333838171269e+03
7.475047999708992743e-05 1.493951110733274390e+03
7.540552053465635410e-05 1.506588790769114439e+03
7.606630121069241513e-05 1.519333257812222655e+03
7.673287232619132605e-05 1.532185402924487789e+03
7.740528462293539053e-05 1.545146124419460193e+03
7.808358928735845714e-05 1.558216329427114715e+03
7.876783795444256898e-05 1.571396937877832215e+03
7.945808271164854898e-05 1.584688878559990826e+03
8.015437610288110343e-05 1.598093088022520533e+03
8.085677113248863348e-05 1.611610510639137374e+03
8.156532126929806647e-05 1.625242098678637831e+03
8.228008045068524901e-05 1.638988812708176283e+03
8.300110308668067155e-05 1.652851621868473558e+03
8.372844406411145948e-05 1.666831503465012247e+03
8.446215875077957660e-05 1.680929442989649488e+03
8.520230299967649842e-05 1.695146434188815192e+03
8.594893315323507365e-05 1.709483479193997482e+03
8.670210604761845175e-05 1.723941589395200481e+03
8.746187901704664596e-05 1.738521785312647580e+03
8.822830989816107046e-05 1.753225096067413006e+03
8.900145703442718719e-05 1.768052559439342986e+03
8.978137928057591300e-05 1.783005221939788953e+03
9.056813600708377339e-05 1.798084137308377194e+03
9.136178710469249412e-05 1.813290359752271343e+03
9.216239298896796296e-05 1.828624949334658368e+03
9.297001460489940174e-05 1.844088974707945226e+03
9.378471343153865390e-05 1.859683513181910939e+03
9.460655148668022443e-05 1.875409650816263593e+03
9.543559133158226215e-05 1.891268487999931722e+03
9.627189607572895829e-05 1.907261146667006415e+03
9.711552938163467354e-05 1.923388760006561142e+03
9.796655546969014548e-05 1.939652470890921677e+03
9.882503912305121044e-05 1.956053431959676345e+03
9.969104569257031061e-05 1.972592805339799952e+03
1.005646411017711796e-04 1.989271754149099479e+03
1.014458918518672617e-04 2.006091441926531161e+03
1.023348650268239741e-04 2.023053041256129973e+03
1.032316282984654211e-04 2.040157734256592221e+03
1.041362499316257092e-04 2.057406712655858882e+03
1.050487987893456506e-04 2.074801178299931053e+03
1.059693443381148128e-04 2.092342346281678601e+03
1.068979566531594978e-04 2.110031443331958599e+03
1.078347064237772065e-04 2.127869706296620734e+03
1.087796649587176832e-04 2.145858382207929026e+03
1.097329041916112721e-04 2.163998728366701471e+03
1.106944966864446665e-04 2.182292013142747237e+03
1.116645156430848919e-04 2.200739517732631612e+03
1.126430349028513327e-04 2.219342534443584100e+03
1.136301289541370225e-04 2.238102366309268746e+03
1.146258729380787364e-04 2.257020327177637228e+03
1.156303426542772421e-04 2.276097741785301423e+03
1.166436145665672474e-04 2.295335945130456366e+03
1.176657658088381837e-04 2.314736282196518005e+03
1.186968741909059195e-04 2.334300108992533751e+03
1.197370182044358927e-04 2.354028792725679523e+03
1.207862770289181754e-04 2.373923711892092342e+03
1.218447305376949474e-04 2.393986255947585505e+03
1.229124593040407151e-04 2.414217820493345698e+03
1.239895446072957787e-04 2.434619808853682571e+03
1.250760684390536659e-04 2.455193635620087207e+03
1.261721135094023957e-04 2.475940726807107239e+03
