# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
2.880446873424868069e-03 4.326983470378672791e+04
2.905688309579835312e-03 4.354937484867487365e+04
2.931150937142652096e-03 4.382982900442787650e+04
2.956836694419781673e-03 4.411118432611164462e+04
2.982747536703125521e-03 4.439342797703732504e+04
3.008885436418859589e-03 4.467654687869890040e+04
3.035252383277586754e-03 4.496052767982666410e+04
3.061850384425797260e-03 4.524535675494023599e+04
3.088681464598664033e-03 4.553102018729368137e+04
3.115747666274169391e-03 4.581750351295875589e+04
3.143051049828589176e-03 4.610479175445286819e+04
3.170593693693333440e-03 4.639286963468225440e+04
3.198377694513158866e-03 4.668172158257944830e+04
3.226405167305786310e-03 4.697133173183861800e+04
3.254678245622892683e-03 4.726168382423813455e+04
3.283199081712529204e-03 4.755276070812818216e+04
3.311969846682951291e-03 4.784454468839870242e+04
3.340992730667902144e-03 4.813701774710661266e+04
3.370269942993326176e-03 4.843016154279861803e+04
3.399803712345553924e-03 4.872395741039168934e+04
3.429596286940951935e-03 4.901838680601900705e+04
3.459649934697073183e-03 4.931343203610935598e+04
3.489966943405295452e-03 4.960907530628718087e+04
3.520549620904974124e-03 4.990529853751581686e+04
3.551400295259128474e-03 5.020208336557815346e+04
3.582521314931652340e-03 5.049941099916675739e+04
3.613915048966099934e-03 5.079725786462621909e+04
3.645583887166019017e-03 5.109559466379017977e+04
3.677530240276871785e-03 5.139439126956962718e+04
3.709756540169547364e-03 5.169361702597807016e+04
3.742265240025489763e-03 5.199324074720976932e+04
3.775058814523445626e-03 5.229323316308275389e+04
3.808139760027830483e-03 5.259358767145948514e+04
3.841510594778772911e-03 5.289431048821187869e+04
3.875173859083818392e-03 5.319540830699415528e+04
3.909132115511288960e-03 5.349688817251237924e+04
3.943387949085363706e-03 5.379875748260432010e+04
3.977943967482871004e-03 5.410100911333362455e+04
4.012802801231768642e-03 5.440357910081593582e+04
4.047967103911420672e-03 5.470638865658187569e+04
4.083439552354570408e-03 5.500935744863330183e+04
4.119222846851117517e-03 5.531240360017037892e+04
4.155319711353691430e-03 5.561544411524519091e+04
4.191732893684978548e-03 5.591842576303466922e+04
4.228465165746926428e-03 5.622134679330334620e+04
4.265519323731727791e-03 5.652421070312501979e+04
4.302898188334680629e-03 5.682702137331845734e+04
4.340604604968929629e-03 5.712978306992130092e+04
4.378641443982042060e-03 5.743249873240367742e+04
4.417011600874521347e-03 5.773514558876611409e+04
4.455717996520230581e-03 5.803768035320429772e+04
4.494763577388720746e-03 5.834005859067566053e+04
4.534151315769548683e-03 5.864223524251484923e+04
