ch,rho,m,f,r_fine,penalty
31,61,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,62,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,63,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,64,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,65,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,66,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,67,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,68,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,69,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,70,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,71,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,72,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,73,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,74,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,75,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,76,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,77,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,78,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,79,1.5500000000000005,0.9945469798657718,0.007215166988343712,184.70776600770768
31,80,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,81,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,82,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,83,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,84,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,85,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,86,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,87,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,88,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,89,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,90,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,91,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
31,92,1.5000000000000004,0.9945469798657718,0.007215166988343712,184.70776600770768
