scenario,fiducial_clean_hours,comparison_clean_hours,fiducial_penalty,comparison_penalty,relative_penalty_shift_pct,fiducial_worst_da_bin,fiducial_worst_da_z_lo,fiducial_worst_da_z_hi,fiducial_worst_da_penalty,comparison_worst_da_bin,comparison_worst_da_z_lo,comparison_worst_da_z_hi,comparison_worst_da_penalty
measured,397.2333707779754,409.54085605082776,1.0528623949670513,1.053612975866748,0.0712895534387803,6,1.4021572058823528,1.5065988235294117,1.6745089876517771,8,1.6110404411764705,1.7154820588235293,1.5184392108815024
uniform50_dtv,397.2333707779754,409.54085605082776,1.2610218510420832,1.2641784514471708,0.2503208332574891,7,1.5065988235294117,1.6110404411764705,2.0000376039706276,9,1.7154820588235293,1.8199236764705882,2.0001092765933843
uniform97_dtv,397.2333707779754,409.54085605082776,1.4939976416170044,1.5106645238658678,1.115589595631783,6,1.4021572058823528,1.5065988235294117,33.333495005287766,9,1.7154820588235293,1.8199236764705882,33.33503288195628
