metric,zbin,scenario,planck_hours,pact_hours,planck_penalty,pact_penalty,relative_penalty_shift_pct
survey_5sigma,survey,clean,208.85661490122305,186.98863684306136,1.0,1.0,0.0
survey_5sigma,survey,measured,215.63607988400358,193.07712188348066,1.032459900712203,1.0325607221016821,0.009765162735098087
survey_5sigma,survey,uniform50_dtv,240.35596946764704,215.13576597545838,1.1508180843653018,1.1505285540747632,-0.02515864970077386
survey_5sigma,survey,uniform75_dtv,254.28888389537136,227.4683391768404,1.2175285135959668,1.2164821510932424,-0.08594151931883287
survey_5sigma,survey,uniform97_dtv,261.95108840700453,234.23871124375196,1.2542149480441023,1.252689549474321,-0.12162178198880103
survey_5sigma,survey,measured_fourier,216.0130385836555,193.41538211746433,1.0342647690896312,1.0343697102824323,0.010146453397363864
survey_5sigma,survey,uniform25_dtv,224.56975098709222,201.0901835776661,1.075234083887171,1.0754139233949285,0.016725614491996943
survey_5sigma,survey,uniform90_dtv,260.2364483586271,232.72551945233872,1.2460052964168922,1.2445971230201764,-0.11301504100866833
survey_5sigma,survey,uniform50_chime,417.6953719195985,373.97983170297016,1.9999144969248108,2.000013680065755,0.004959369067858432
survey_5sigma,survey,ch30_excised,210.6050181476045,188.56089096421547,1.0083713089346409,1.0084082869830946,0.003667106365101702
survey_5sigma,survey,ch30_kept,211.570825752475,189.42570616120886,1.0129955704421219,1.0130332482192108,0.003719441445593219
survey_5sigma,survey,ch30_kept_fourier,222.1438380651533,198.95394611713013,1.0636188763770509,1.0639894994480932,0.03484547701002594
bin_5sigma,6,clean,1527.4133386869303,1356.890994000605,1.0,1.0,0.0
bin_5sigma,6,measured,2057.122690947561,1824.6529464530588,1.3468015754766194,1.3447306780873551,-0.1537641050450511
bin_5sigma,6,uniform50_dtv,3054.77464285582,2713.672776272339,1.9999659329163084,1.9999195132627796,-0.0023210222116709645
bin_5sigma,6,uniform75_dtv,6109.667134772386,5427.625082882905,4.000009021804587,4.000045034480114,0.0009003148575548181
bin_5sigma,6,uniform97_dtv,50912.84806534983,45228.46210172828,33.33272453225924,33.332421175837,-0.0009100858885724428
bin_5sigma,6,measured_fourier,2069.766723151797,1835.8680645277386,1.3550796439496273,1.352995983203438,-0.1537666627561607
bin_5sigma,6,uniform25_dtv,2036.4406196208593,1809.1824796722176,1.3332609897014018,1.3333292708636042,0.0051213650387849086
bin_5sigma,6,uniform90_dtv,15273.280098532245,13568.55726306859,9.999441350736276,9.99974008454694,0.002987505003382296
bin_5sigma,6,uniform50_chime,3054.77464285582,2713.672776272339,1.9999659329163084,1.9999195132627796,-0.0023210222116709645
bin_5sigma,6,ch30_excised,1756.1591115064202,1557.7021465316298,1.1497602299428231,1.1479935775378396,-0.1536539844547713
bin_5sigma,6,ch30_kept,1812.3976785490142,1610.056832796496,1.1865797113616123,1.1865778753895821,-0.00015472808211347555
bin_5sigma,6,ch30_kept_fourier,9533.220427344306,8468.894523046987,6.241414937190295,6.241396368972593,-0.00029750013240681383
da_2pct,6,clean,2755.535183026893,2470.6251709310677,1.0,1.0,0.0
da_2pct,6,measured,3688.7435414474767,3305.3173524718954,1.3386668274710525,1.3378465464375844,-0.06127596625500331
da_2pct,6,uniform50_dtv,5511.01552531593,4941.134593390661,1.9999800979721858,1.999953150128625,-0.0013474055860940304
