ch,basis,mu0,tau_bound,tol_aperp,era_from,eta,F_thresh,f,r_fine,margin,penalty,penalty_pe,f_recent,feasible,fs8_with_delay
27,product,0.992953335421234,True,0.014,2024,,,,,,,,,0,
27,sigma_null,0.992953335421234,True,0.014,2024,,,,,,,,,0,
28,product,1.0033102143757882,True,0.014,2024,,,,,,,,,0,
28,sigma_null,1.0033102143757882,True,0.014,2024,,,,,,,,,0,
29,product,1.0024384488319042,True,0.014,2024,,,,,,,,,0,
29,sigma_null,1.0024384488319042,True,0.014,2024,,,,,,,,,0,
30,product,0.9966261278932915,True,0.0144,2021,,,,,,,,,0,
30,sigma_null,0.9966261278932915,True,0.0144,2021,,,,,,,,,0,
31,product,1.0019652543039068,False,0.0156,2024,1.1500000000000001,1.1522600424494929,0.9943211151264842,0.00693247729382514,2.250277835586299,177.31165531983055,nan,0.9975488694160182,29,True
31,sigma_null,1.0019652543039068,False,0.0156,2024,1.1500000000000001,1.1522600424494929,0.9943211151264842,0.007775045962587039,2.0064190070471706,177.46002400268435,nan,0.9975488694160182,29,True
32,product,1.0022890520167338,True,0.0156,2024,1.01,1.0123119425369012,0.5182704235335814,0.011136130893483786,1.400845603308076,2.098970418861069,3.479239716412823,0.3194008643656385,2,True
32,sigma_null,1.0022890520167338,True,0.0156,2024,1.01,1.0123119425369012,0.5182704235335814,0.01463155202555314,1.0661890121263637,2.106226400853515,3.4994011548358883,0.3194008643656385,2,True
33,product,1.0049672790349287,True,0.0156,2024,1.05,1.0552156429866753,0.4747412734607963,0.013282814192718437,1.1744499150301921,1.9291118128945357,5.15395711931877,0.4542178019070213,6,True
33,sigma_null,1.0049672790349287,True,0.0156,2024,,,,,,,,,0,
34,product,1.0043399352955102,True,0.0156,2024,,,,,,,,,0,
34,sigma_null,1.0043399352955102,True,0.0156,2024,,,,,,,,,0,
35,product,0.9974882260596546,False,0.0352,2024,1.3000000000000003,1.2967346938775512,0.7170081709616594,0.005343580804783416,6.5873430731111995,3.5525533872166193,6.14547368683095,0.9980565452778678,32,True
35,sigma_null,0.9974882260596546,False,0.0352,2024,1.3000000000000003,1.2967346938775512,0.7170081709616594,0.005343580804783416,6.5873430731111995,3.5525533872166193,6.14547368683095,0.9980565452778678,32,True
36,product,0.989132984129466,True,0.0352,2024,,,,,,,,,0,
36,sigma_null,0.989132984129466,True,0.0352,2024,,,,,,,,,0,
